Sex,MoltTiming,Bin,53mm,58mm,63mm,68mm,73mm,78mm,83mm,88mm,93mm,98mm,103mm,108mm,113mm,118mm,123mm,128mm,133mm,138mm,143mm,148mm,153mm,158mm,163mm,168mm,173mm,178mm,183mm,188mm,193mm,198mm,203mm,208mm,213mm,218mm,223mm
1,m1,68,0,0,0,0.070405225,0.127808235,0.472972084,0.284047305,0.04342232,0.001342853,1.98E-06,2.04E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,73,0,0,0,0,0.0927428,0.083112231,0.430740814,0.33129244,0.060042457,0.00206607,3.19E-06,2.98E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,78,0,0,0,0,0,0.121431771,0.051612803,0.374027829,0.368876489,0.08083284,0.003212708,5.56E-06,5.75E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,83,0,0,0,0,0,0,0.157494015,0.030556854,0.309887426,0.391855667,0.105223016,0.004972815,1.02E-05,1.46E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,88,0,0,0,0,0,0,0,0.201805944,0.017219486,0.244861484,0.396773392,0.131747339,0.007573027,1.93E-05,4.48E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,93,0,0,0,0,0,0,0,0,0.254804157,0.009214923,0.184217084,0.382436498,0.158041897,0.011248294,3.71E-05,1.68E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,98,0,0,0,0,0,0,0,0,0,0.316193641,0.004671783,0.131631208,0.350233951,0.181016898,0.01618098,7.15E-05,7.43E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,103,0,0,0,0,0,0,0,0,0,0,0.384724725,0.002239054,0.08906623,0.304047068,0.197370593,0.022415734,0.000136596,3.80E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,108,0,0,0,0,0,0,0,0,0,0,0,0.458148086,0.001013796,0.056924817,0.249655162,0.204271703,0.029730941,0.000255495,2.17E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,113,0,0,0,0,0,0,0,0,0,0,0,0,0.53343182,0.000435928,0.03438661,0.193704196,0.200099719,0.03748131,0.000460418,1.32E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607225777,0.00018044,0.019731444,0.142172275,0.185238568,0.044664052,0.000787445,8.18E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676435568,7.31E-05,0.01084388,0.099060277,0.162159634,0.050164561,0.001262942,4.90E-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738708062,2.96E-05,0.005772932,0.065919057,0.134599701,0.053086591,0.001884046,2.72E-10,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789688854,1.22E-05,0.003018447,0.042405625,0.107663672,0.054466947,0.002744233,1.46E-09,0,0,0,0,0,0,0,0,0,0,0
1,m1,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,5.85E-06,0.001794972,0.030962113,0.098349243,0.064359269,0.004528542,8.25E-09,0,0,0,0,0,0,0,0,0,0
1,m1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3.38E-06,0.001204162,0.024253884,0.092332952,0.075106716,0.007098868,4.17E-08,0,0,0,0,0,0,0,0,0
1,m1,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.08E-06,0.000824603,0.0188911,0.084761882,0.084905461,0.010614689,1.89E-07,0,0,0,0,0,0,0,0
1,m1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.36E-06,0.000578445,0.014676517,0.076265927,0.093253048,0.015223929,7.70E-07,0,0,0,0,0,0,0
1,m1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,9.61E-07,0.000417078,0.011405013,0.067380613,0.099735192,0.021058294,2.85E-06,0,0,0,0,0,0
1,m1,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,7.29E-07,0.000310156,0.008887203,0.058532547,0.104031856,0.028227889,9.62E-06,0,0,0,0,0
1,m1,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,5.99E-07,0.000238927,0.006964101,0.05004895,0.105905049,0.036812558,2.98E-05,0,0,0,0
1,m1,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,5.37E-07,0.000191822,0.005507777,0.042173439,0.10520632,0.046835285,8.48E-05,0,0,0
1,m1,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,5.33E-07,0.000161908,0.004420824,0.035095062,0.101897763,0.058203385,0.000220526,0,0
1,m1,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,5.92E-07,0.000145232,0.003626632,0.028926279,0.096073998,0.070704963,0.000522303,0
1,m1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,7.50E-07,0.000140147,0.003064883,0.02369562,0.087970658,0.084003218,0.001124724
1,m1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.10E-06,0.000147509,0.002691345,0.01936211,0.077951384,0.09984655
1,m1,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.92E-06,0.000171977,0.002477116,0.015830198,0.18151879
1,m1,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,4.06E-06,0.000225816,0.00240666,0.197363469
1,m1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800000001,1.08E-05,0.000339024,0.199650196
1,m1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,3.78E-05,0.199962166
1,m1,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800000287,0.199999713
1,m1,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,m2,53,0.625680826,0.13834971,0.176544162,0.0532119,0.006026035,0.000186962,4.05E-07,6.80E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,58,0,0.690317475,0.087981697,0.157116478,0.057585469,0.006802867,0.000195678,3.36E-07,1.59E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,63,0,0,0.759027587,0.05057844,0.125740615,0.057074488,0.007369607,0.000208955,3.08E-07,4.54E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,68,0,0,0,0.825475805,0.026268189,0.089617038,0.05091795,0.007496191,0.000224504,3.23E-07,3.33E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,73,0,0,0,0,0.894764128,0.01124932,0.051858949,0.035946736,0.00599094,0.000189661,2.66E-07,2.28E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,78,0,0,0,0,0,0.961361147,0.00344706,0.018930009,0.013886378,0.002306409,6.89E-05,9.43E-08,9.44E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,83,0,0,0,0,0,0,0.999941909,7.78E-06,3.29E-05,1.61E-05,1.29E-06,5.94E-09,6.64E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,103,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,113,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,m2,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,m2,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
