"EID","Tag","TagDate","TagLon","TagLat","TagCL","TagSex","CapDate","CapLon","CapLat","CapCL","CapSex","DAL","SizeDiff","MoltIncr","Molted","z","TagDepth","CapDepth","subarea","degreedays"
5988,44835,1982-10-27,-66.7166666666667,44.7333333333333,116,3,1982-11-17,-66.7,44.9666666666667,116,3,21,0,0,0,9.64790582646489,3.70539082068331,15.5904208322465,"36",239.852139892664
5989,44557,1982-10-06,-66.75,44.75,133,3,1983-06-02,-66.6666666666667,44.7333333333333,133,3,239,0,0,0,57.9923761503802,27.0243868610095,88.9603654397508,"38",1380.54486003966
5990,44281,1982-09-22,-66.75,44.75,105,3,1982-11-20,-66.65,44.7333333333333,105,3,59,0,0,0,61.179813415331,27.0243868610095,95.3352399696526,"38",603.6761404043
5991,43620,1982-08-27,-66.75,44.75,123,3,1982-12-07,-66.6666666666667,44.6833333333333,123,3,102,0,0,0,60.0470539748592,27.0243868610095,93.069721088709,"38",1009.71129981873
5992,43057,1982-08-02,-66.75,44.75,122,3,1982-11-16,-66.7,44.7666666666667,134,2,106,12,0.0983606557377049,1,52.3116822255062,27.0243868610095,77.5989775900029,"38",1052.75027618993
5993,5579,1978-08-31,-66.9,44.6333333333333,90,2,1978-11-17,-66.7333333333333,44.6166666666667,90,2,78,0,0,0,23.7405778487109,26.6523168189811,20.8288388784407,"38",921.021120070379
5994,34931,1980-07-25,-66.3166666666667,45.1,130,2,1981-12-21,-66.6166666666667,44.65,137,2,514,7,0.0538461538461538,1,81.7441137597869,39.1663191259812,124.321908393593,"38",3785.88093450159
5995,20527,1979-08-07,-66.3166666666667,45.1,114,1,1981-05-11,-66.6166666666667,44.65,134,1,643,20,0.175438596491228,1,81.7441137597869,39.1663191259812,124.321908393593,"38",4404.3635547058
5996,86879,1992-07-10,-65.2333333333333,45.4833333333333,98,2,1992-07-28,-64.8833333333333,45.55,98,3,18,0,0,0,14.04300674154,2.13909004389962,25.9469234391804,"35",267.118708996023
5997,85238,1992-07-14,-65.4,45.4,119,2,1992-10-21,-64.8666666666667,45.5,119,3,99,0,0,0,21.8829613828192,13.8188696661174,29.947053099521,"35",1387.57344599397
5998,43314,1982-08-12,-66.75,44.75,128,3,1982-11-15,-66.6666666666667,44.7666666666667,128,3,95,0,0,0,55.9521487125918,27.0243868610095,84.8799105641741,"38",934.998524326029
5999,46506,1982-11-26,-66.6833333333333,44.7,118,3,1982-12-14,-66.6666666666667,44.6833333333333,118,3,18,0,0,0,85.9082599621067,78.7467988355043,93.069721088709,"38",147.185688254158
6000,18954,1979-09-17,-66.3166666666667,45.1,82,2,1979-11-20,-66.3166666666667,45.1166666666667,82,2,64,0,0,0,33.0440049968602,39.1663191259812,26.9216908677393,"36",687.423177953217
